author,title,classification_number,source_row
"Әуезов, Мұхтар",Абай жолы / 2 кітап,PL76.9.A898,2
"Әуезов, Мұхтар",Роман-эпопея,PL76.9.A898,3
"Мұртаза, Шерхан",Қызыл жебе / 1 кітап,PL76.9,4
"Айдоғду, Шабан",Оқы! Ойлан! Орында!,PL76.9,7
"Cullen, Pauline",The official Cambridge guide to IELTS,PE1128,8
"Мұртаза, Шерхан","Шерхан, Мұртаза",PL76.9,9
"Брегман, Питер.","как помочь сотрудникам, друзьям и любимым расти и развиваться",HD30.3 b,10
"Әуезов, Мұхтар",Төртінші кітап,PL76.9.A898,11
"Әуезов, Мұхтар",Үшінші кітап,PL76.9.A898,12
"Айтматов, Чингиз",Чингиз Айтматов,.А36 2024,13
"Айтматов, Чингиз",Чингиз Айтматов,PG3478.I8,14
"Мұртаза, Шерхан",Шерхан Мұртаза,.М84 2024,15
"Мұртаза, Шерхан",Мұртаза Шерхан,.М84 2024,16
,"Globalization, environmental law, and sustainable development in the global south",HF1365,17
,Экософия немесе киелі табиғат,.Е40 2022,18
"Silver, Elsie",Reckless,.S556 2024,19
"Silver, Elsie",Heartless,.S556 2023,22
"King, Stephen",The Green Mile,PS3561.I483,23
"King, Stephen",Stephen King,PS3561.I483,24
"Galbraith, Robert",Robert Galbraith,PR6068.O93,29
"Adams, Sarah",Sarah Adams,PS3601.D3947,30
"Fry, Stephen",Stephen Fry,.F79 2017,31
"Hoover, Colleen",Verity,.V47 2018,32
"Manson, Mark",The Subtle Art of Not Giving a F*ck,.M259 2022,33
"London, Jack",Martin Eden,PS3523.O46,34
"Lewis, Michael",The fifth risk,.L48 2018,35
"Baddiel, David",The God Desire,PR6052.A3126,36
"Stewart, Kate",Exodus,PS3541.T46,37
"Silvera, Adam",More Happy Than Not,PZ7.1.S54,38
"Liu, Simu",We were Dreamers,PN2308.L58,39
"Maise, Ella",Marriage for One,PS3613.A377,41
"Silva, Danil",Portrait of an unknown woman,PS3619.I5443,42
"Singh, Jaywant",principles and applications for effective branding,.S5238 2024,43
"Zutter, Chad J.",Principles of managerial finance,.Z88 2022,44
"Wilde, Oscar",The picture of Dorian Gray,PR5819,45
"Касес, Ферран",Феррар Касес,.T47 2024,46
,"Volume 2,",TJ213,47
"Sengoku, Masakazu","Masakazu Sengoku, Graduate Institute for Entrepreneurial Studies, Japan.",TK5103.2,48
,state of the art and future trends,TL152.8,49
,Software engineering for automotive systems,TL272.53,50
,Explainable artificial intelligence for smart cities,TD159.4,51
"Kizza, Joseph Migga.",Guide to Computer Network Security,TK5105.59,52
,Research data sharing and valorization,ZA3075,53
"Zito, Richard R.",Richard R. Zito.,.Z58 2020,54
Dijiang Huang,Software-defined networking and security,TK5105.5833,55
,Proceedings of the 13th International Conference on Information Society and Technology (ICIST),T58.5,56
author.,"The no-nonsense guide to leadership, management and teamwork",Z678,57
,vital skills for the Next Generation,TS155,58
"Kaufman, Charlie",Private Communication in a Public World,TK5105.59,59
"Щварц, Ричард",Ричард Шварц; пер. с англ. Е. Петровой.,.Sh33 2023,60
"Мортон, Кэти",Кэти Мортон,.M684 2022,61
"Fedyukin, Igor",the politics of school in early modern Russia,V600,62
"Do, Quang Hung",Quang Hung Do,TA347.N46,63
"Wharmby, Pete",Un-typical,.U58 2023,64
"Клаузевиц, Карл",пер. с нем. А. Рачинского.,U102,65
"Sakanishi, Seiichi.",Sushi secrets,TX724.5.J3,66
"Керре, Наталья",Шизофрения без страха,.S55 2023,67
